 Rank  Case ID                          Dice_WT   Dice_TC   Dice_ET   Mean_Dice
   93  BraTS2021_01194                   0.7991    0.8399    0.5002      0.7131
   94  BraTS2021_00389                   0.7290    0.7802    0.6333      0.7142
   95  BraTS2021_01410                   0.8411    0.8508    0.4516      0.7145
   96  BraTS2021_01050                   0.5597    0.7996    0.7861      0.7151
   97  BraTS2021_00654                   0.6903    0.8430    0.6129      0.7154
   98  BraTS2021_01036                   0.6825    0.7701    0.7014      0.7180
   99  BraTS2021_01183                   0.8148    0.7613    0.5922      0.7228
  100  BraTS2021_00296                   0.7521    0.7538    0.6653      0.7238
  101  BraTS2021_00297                   0.8152    0.8364    0.5198      0.7238
  102  BraTS2021_00477                   0.7824    0.7692    0.6243      0.7253
  103  BraTS2021_01225                   0.7737    0.7559    0.6491      0.7263
  104  BraTS2021_00194                   0.7798    0.7988    0.6028      0.7271
  105  BraTS2021_01346                   0.8509    0.8117    0.5226      0.7284
  106  BraTS2021_00619                   0.7249    0.7945    0.6690      0.7295
  107  BraTS2021_00347                   0.8161    0.8330    0.5501      0.7331
  108  BraTS2021_00327                   0.7672    0.7174    0.7153      0.7333
  109  BraTS2021_00524                   0.8206    0.8581    0.5237      0.7341
  110  BraTS2021_01535                   0.8735    0.5965       nan      0.7350
  111  BraTS2021_01338                   0.8086    0.8073    0.5913      0.7357
  112  BraTS2021_01549                   0.8350    0.7153    0.6608      0.7370
  113  BraTS2021_00407                   0.7724    0.7923    0.6500      0.7382
  114  BraTS2021_00403                   0.8171    0.7897    0.6148      0.7406
  115  BraTS2021_01129                   0.8082    0.8274    0.5873      0.7410
  116  BraTS2021_01014                   0.8399    0.8360    0.5471      0.7410
  117  BraTS2021_01004                   0.7884    0.8331    0.6023      0.7413
  118  BraTS2021_01084                   0.7784    0.8136    0.6411      0.7444
  119  BraTS2021_00124                   0.8219    0.8973    0.5170      0.7454
  120  BraTS2021_00150                   0.8613    0.7604    0.6204      0.7473
  121  BraTS2021_01403                   0.8155    0.8000    0.6284      0.7480
  122  BraTS2021_00518                   0.8068    0.8204    0.6259      0.7510
  123  BraTS2021_01052                   0.7477    0.8311    0.6743      0.7511
  124  BraTS2021_00569                   0.8426    0.8657    0.5477      0.7520
  125  BraTS2021_00238                   0.7717    0.7540    0.7335      0.7531
  126  BraTS2021_01324                   0.8325    0.8339    0.5931      0.7532
  127  BraTS2021_00478                   0.7819    0.7989    0.6803      0.7537
  128  BraTS2021_00148                   0.7860    0.7644    0.7126      0.7543
  129  BraTS2021_01285                   0.7763    0.8174    0.6729      0.7555
  130  BraTS2021_01044                   0.7150    0.8465    0.7122      0.7579
  131  BraTS2021_01254                   0.8111    0.8633    0.6026      0.7590
  132  BraTS2021_00084                   0.7753    0.7867    0.7151      0.7590
  133  BraTS2021_01351                   0.7795    0.8568    0.6445      0.7603
  134  BraTS2021_00511                   0.7994    0.8645    0.6196      0.7612
  135  BraTS2021_00793                   0.8371    0.8321    0.6225      0.7639
